model,seed,mask,nseed,npts,c00,c01,c02,c10,c11,c12,c20,c21,c22,plant,scan,n,nn_all,nn_plant,n_soil,n_stem,n_leaf,n_leaves
semseg-ptv3-pheno4d-maize,0,global,-1,1407956,318451,96,0,1396,556771,111282,3322,225,416413,Maize01,M01_0325_a,1407956,0.08895184090274497,0.08866309829915017,318547,669449,419960,3
semseg-ptv3-pheno4d-maize,0,A16_r1,777,5396,1315,90,0,399,824,1476,32,209,1051,Maize01,M01_0325_a,1407956,0.08895184090274497,0.08866309829915017,318547,669449,419960,3
semseg-ptv3-pheno4d-maize,0,A16_r2,777,12908,3126,96,0,823,2347,3152,382,225,2757,Maize01,M01_0325_a,1407956,0.08895184090274497,0.08866309829915017,318547,669449,419960,3
semseg-ptv3-pheno4d-maize,0,A16_r5,777,44698,10126,96,0,1040,10808,10671,1686,225,10046,Maize01,M01_0325_a,1407956,0.08895184090274497,0.08866309829915017,318547,669449,419960,3
semseg-ptv3-pheno4d-maize,0,A16_r10,777,107239,29669,96,0,1366,28672,21112,2387,225,23712,Maize01,M01_0325_a,1407956,0.08895184090274497,0.08866309829915017,318547,669449,419960,3
semseg-ptv3-pheno4d-maize,0,O8_r1,299,2868,0,0,0,0,498,1267,8,193,902,Maize01,M01_0325_a,1407956,0.08895184090274497,0.08866309829915017,318547,669449,419960,3
semseg-ptv3-pheno4d-maize,0,O8_r2,299,7436,0,0,0,0,1716,2822,325,225,2348,Maize01,M01_0325_a,1407956,0.08895184090274497,0.08866309829915017,318547,669449,419960,3
semseg-ptv3-pheno4d-maize,0,O8_r5,299,27940,0,0,0,0,7574,9737,1642,225,8762,Maize01,M01_0325_a,1407956,0.08895184090274497,0.08866309829915017,318547,669449,419960,3
semseg-ptv3-pheno4d-maize,0,O8_r10,299,66292,0,0,0,0,21535,20084,2387,225,22061,Maize01,M01_0325_a,1407956,0.08895184090274497,0.08866309829915017,318547,669449,419960,3
semseg-ptv3-pheno4d-maize,0,O16_r1,511,3359,0,0,0,0,603,1464,32,209,1051,Maize01,M01_0325_a,1407956,0.08895184090274497,0.08866309829915017,318547,669449,419960,3
