model,seed,mask,nseed,npts,c00,c01,c02,c10,c11,c12,c20,c21,c22,plant,scan,n,nn_all,nn_plant,n_soil,n_stem,n_leaf,n_leaves
semseg-ptv3-pheno4d-tomato,0,global,-1,2660027,2560748,161,0,4,19870,1,0,1128,78115,Tomato02,T02_0307_a,2660027,0.04636361719987907,0.032907445965883776,2560909,19875,79243,2
semseg-ptv3-pheno4d-tomato,0,A16_r1,742,8543,1361,161,0,4,4965,1,0,1025,1026,Tomato02,T02_0307_a,2660027,0.04636361719987907,0.032907445965883776,2560909,19875,79243,2
semseg-ptv3-pheno4d-tomato,0,A16_r2,742,20719,6824,161,0,4,9085,1,0,1128,3516,Tomato02,T02_0307_a,2660027,0.04636361719987907,0.032907445965883776,2560909,19875,79243,2
semseg-ptv3-pheno4d-tomato,0,A16_r5,742,95653,62503,161,0,4,15142,1,0,1128,16714,Tomato02,T02_0307_a,2660027,0.04636361719987907,0.032907445965883776,2560909,19875,79243,2
semseg-ptv3-pheno4d-tomato,0,A16_r10,742,276922,206620,161,0,4,19870,1,0,1128,49138,Tomato02,T02_0307_a,2660027,0.04636361719987907,0.032907445965883776,2560909,19875,79243,2
semseg-ptv3-pheno4d-tomato,0,O8_r1,322,4672,0,0,0,0,2737,1,0,1008,926,Tomato02,T02_0307_a,2660027,0.04636361719987907,0.032907445965883776,2560909,19875,79243,2
semseg-ptv3-pheno4d-tomato,0,O8_r2,322,10364,0,0,0,0,5938,1,0,1128,3297,Tomato02,T02_0307_a,2660027,0.04636361719987907,0.032907445965883776,2560909,19875,79243,2
semseg-ptv3-pheno4d-tomato,0,O8_r5,322,26483,0,0,0,0,9167,1,0,1128,16187,Tomato02,T02_0307_a,2660027,0.04636361719987907,0.032907445965883776,2560909,19875,79243,2
semseg-ptv3-pheno4d-tomato,0,O8_r10,322,63900,0,0,0,0,14588,1,0,1128,48183,Tomato02,T02_0307_a,2660027,0.04636361719987907,0.032907445965883776,2560909,19875,79243,2
semseg-ptv3-pheno4d-tomato,0,O16_r1,480,4947,0,0,0,0,2895,1,0,1025,1026,Tomato02,T02_0307_a,2660027,0.04636361719987907,0.032907445965883776,2560909,19875,79243,2
semseg-ptv3-pheno4d-tomato,0,O16_r2,480,10660,0,0,0,0,6015,1,0,1128,3516,Tomato02,T02_0307_a,2660027,0.04636361719987907,0.032907445965883776,2560909,19875,79243,2
semseg-ptv3-pheno4d-tomato,0,O16_r5,480,27010,0,0,0,0,9167,1,0,1128,16714,Tomato02,T02_0307_a,2660027,0.04636361719987907,0.032907445965883776,2560909,19875,79243,2
