model,seed,mask,nseed,npts,c00,c01,c02,c10,c11,c12,c20,c21,c22,plant,scan,n,nn_all,nn_plant,n_soil,n_stem,n_leaf,n_leaves
semseg-ptv3-pheno4d-tomato,0,global,-1,1672545,215107,137,0,409,141243,4698,31,5330,1305590,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,0,A16_r1,3154,22032,2055,137,0,409,5693,2768,4,1443,9523,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,0,A16_r2,3154,50559,5046,137,0,409,13119,4205,4,1633,26006,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,0,A16_r5,3154,176716,16243,137,0,409,41097,4698,4,2759,111369,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,0,A16_r10,3154,406032,30583,137,0,409,68640,4698,4,4393,297168,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,0,O8_r1,1752,17315,282,0,0,0,4524,2554,4,1402,8549,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,0,O8_r2,1752,41787,1159,0,0,0,10512,4118,4,1596,24398,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,0,O8_r5,1752,157508,5824,0,0,0,35508,4698,4,2703,108771,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,0,O8_r10,1752,379053,14837,116,0,59,61724,4698,4,4322,293293,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,0,O16_r1,2648,18933,282,0,0,0,4913,2768,4,1443,9523,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,0,O16_r2,2648,44305,1159,0,0,0,11298,4205,4,1633,26006,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,0,O16_r5,2648,161385,5824,0,0,0,36731,4698,4,2759,111369,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,0,O16_r10,2648,383701,14837,116,0,59,62426,4698,4,4393,297168,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,0,O32_r1,4007,20751,282,0,0,0,5333,2964,4,1497,10671,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,0,O32_r2,4007,47428,1159,0,0,0,12097,4307,4,1708,28153,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,0,O32_r5,4007,166635,5824,0,0,0,37314,4698,4,3012,115783,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,0,O32_r10,4007,389243,14837,116,0,59,62457,4698,4,4425,302647,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,0,I16_r1,4243,30675,282,0,0,0,4913,2768,4,1766,20942,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,0,I16_r2,4243,70958,1159,0,0,0,11298,4205,4,2526,51766,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,0,I16_r5,4243,223468,5824,0,0,0,36731,4698,4,4033,172178,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,0,I16_r10,4243,483120,14837,116,0,59,62426,4698,4,5330,395650,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,1,global,-1,1672545,215168,76,0,523,141485,4342,4,4576,1306371,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,1,A16_r1,3154,22032,2116,76,0,522,5998,2350,4,1889,9077,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
semseg-ptv3-pheno4d-tomato,1,A16_r2,3154,50559,5107,76,0,523,13403,3807,4,2379,25260,Tomato01,T01_0321_a,1672545,0.07818059222076734,0.07579772423765335,215244,146350,1310951,32
