model,seed,mask,nseed,npts,c00,c01,c02,c10,c11,c12,c20,c21,c22,plant,scan,n,nn_all,nn_plant,n_soil,n_stem,n_leaf,n_leaves
semseg-ptv3-pheno4d-tomato,0,global,-1,1518307,1469852,103,0,5,4924,107,0,68,43248,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,0,A16_r1,364,2778,399,103,0,5,1114,107,0,68,982,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,0,A16_r2,364,7378,2273,103,0,5,2153,107,0,68,2669,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,0,A16_r5,364,42704,26308,103,0,5,4473,107,0,68,11640,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,0,A16_r10,364,143718,106783,103,0,5,4924,107,0,68,31728,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,0,O8_r1,152,1917,0,0,0,0,826,107,0,68,916,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,0,O8_r2,152,4247,0,0,0,0,1481,107,0,68,2591,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,0,O8_r5,152,13780,0,0,0,0,2095,107,0,68,11510,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,0,O8_r10,152,35469,0,0,0,0,3869,107,0,68,31425,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,0,O16_r1,233,1987,0,0,0,0,830,107,0,68,982,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,0,O16_r2,233,4328,0,0,0,0,1484,107,0,68,2669,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,0,O16_r5,233,13910,0,0,0,0,2095,107,0,68,11640,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,0,O16_r10,233,35772,0,0,0,0,3869,107,0,68,31728,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,0,O32_r1,327,2130,0,0,0,0,871,107,0,68,1084,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,0,O32_r2,327,4514,0,0,0,0,1501,107,0,68,2838,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,0,O32_r5,327,14062,0,0,0,0,2098,107,0,68,11789,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,0,O32_r10,327,35870,0,0,0,0,3869,107,0,68,31826,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,0,I16_r1,233,1987,0,0,0,0,830,107,0,68,982,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,0,I16_r2,233,4328,0,0,0,0,1484,107,0,68,2669,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,0,I16_r5,233,13910,0,0,0,0,2095,107,0,68,11640,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,0,I16_r10,233,35772,0,0,0,0,3869,107,0,68,31728,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,1,global,-1,1518307,1469955,0,0,112,4802,122,500,43,42773,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
semseg-ptv3-pheno4d-tomato,1,A16_r1,364,2778,502,0,0,112,992,122,0,43,1007,Tomato02,T02_0305_a,1518307,0.06807348969270999,0.03831944676008499,1469955,5036,43316,2
