model,seed,mask,nseed,npts,c00,c01,c02,c10,c11,c12,c20,c21,c22,plant,scan,n,nn_all,nn_plant,n_soil,n_stem,n_leaf,n_leaves
semseg-ptv3-pheno4d-tomato,0,global,-1,2530683,2235445,407,0,25,29085,904,0,8002,256815,Tomato02,T02_0309_a,2530683,0.04336963223238056,0.025599902341870054,2235852,30014,264817,3
semseg-ptv3-pheno4d-tomato,0,A16_r1,1264,17676,2154,407,0,25,7671,904,0,1594,4921,Tomato02,T02_0309_a,2530683,0.04336963223238056,0.025599902341870054,2235852,30014,264817,3
semseg-ptv3-pheno4d-tomato,0,A16_r2,1264,41860,11672,407,0,25,15077,904,0,2255,11520,Tomato02,T02_0309_a,2530683,0.04336963223238056,0.025599902341870054,2235852,30014,264817,3
semseg-ptv3-pheno4d-tomato,0,A16_r5,1264,154234,78281,407,0,25,22510,904,0,7691,44416,Tomato02,T02_0309_a,2530683,0.04336963223238056,0.025599902341870054,2235852,30014,264817,3
semseg-ptv3-pheno4d-tomato,0,A16_r10,1264,404871,244171,407,0,25,29085,904,0,8002,122277,Tomato02,T02_0309_a,2530683,0.04336963223238056,0.025599902341870054,2235852,30014,264817,3
semseg-ptv3-pheno4d-tomato,0,O8_r1,673,13046,0,0,0,0,5799,904,0,1568,4775,Tomato02,T02_0309_a,2530683,0.04336963223238056,0.025599902341870054,2235852,30014,264817,3
semseg-ptv3-pheno4d-tomato,0,O8_r2,673,27078,0,0,0,0,12606,904,0,2188,11380,Tomato02,T02_0309_a,2530683,0.04336963223238056,0.025599902341870054,2235852,30014,264817,3
semseg-ptv3-pheno4d-tomato,0,O8_r5,673,70035,0,0,0,0,17378,904,0,7643,44110,Tomato02,T02_0309_a,2530683,0.04336963223238056,0.025599902341870054,2235852,30014,264817,3
semseg-ptv3-pheno4d-tomato,0,O8_r10,673,152106,0,0,0,0,21562,904,0,8002,121638,Tomato02,T02_0309_a,2530683,0.04336963223238056,0.025599902341870054,2235852,30014,264817,3
semseg-ptv3-pheno4d-tomato,0,O16_r1,1023,14220,0,0,0,0,6801,904,0,1594,4921,Tomato02,T02_0309_a,2530683,0.04336963223238056,0.025599902341870054,2235852,30014,264817,3
semseg-ptv3-pheno4d-tomato,0,O16_r2,1023,27775,0,0,0,0,13096,904,0,2255,11520,Tomato02,T02_0309_a,2530683,0.04336963223238056,0.025599902341870054,2235852,30014,264817,3
semseg-ptv3-pheno4d-tomato,0,O16_r5,1023,70390,0,0,0,0,17379,904,0,7691,44416,Tomato02,T02_0309_a,2530683,0.04336963223238056,0.025599902341870054,2235852,30014,264817,3
semseg-ptv3-pheno4d-tomato,0,O16_r10,1023,152810,0,0,0,0,21627,904,0,8002,122277,Tomato02,T02_0309_a,2530683,0.04336963223238056,0.025599902341870054,2235852,30014,264817,3
semseg-ptv3-pheno4d-tomato,0,O32_r1,1440,14890,0,0,0,0,7075,904,0,1674,5237,Tomato02,T02_0309_a,2530683,0.04336963223238056,0.025599902341870054,2235852,30014,264817,3
semseg-ptv3-pheno4d-tomato,0,O32_r2,1440,28344,0,0,0,0,13183,904,0,2348,11909,Tomato02,T02_0309_a,2530683,0.04336963223238056,0.025599902341870054,2235852,30014,264817,3
semseg-ptv3-pheno4d-tomato,0,O32_r5,1440,71366,0,0,0,0,17396,904,0,7778,45288,Tomato02,T02_0309_a,2530683,0.04336963223238056,0.025599902341870054,2235852,30014,264817,3
semseg-ptv3-pheno4d-tomato,0,O32_r10,1440,153844,0,0,0,0,21631,904,0,8002,123307,Tomato02,T02_0309_a,2530683,0.04336963223238056,0.025599902341870054,2235852,30014,264817,3
semseg-ptv3-pheno4d-tomato,0,I16_r1,1023,14220,0,0,0,0,6801,904,0,1594,4921,Tomato02,T02_0309_a,2530683,0.04336963223238056,0.025599902341870054,2235852,30014,264817,3
semseg-ptv3-pheno4d-tomato,0,I16_r2,1023,27775,0,0,0,0,13096,904,0,2255,11520,Tomato02,T02_0309_a,2530683,0.04336963223238056,0.025599902341870054,2235852,30014,264817,3
semseg-ptv3-pheno4d-tomato,0,I16_r5,1023,70390,0,0,0,0,17379,904,0,7691,44416,Tomato02,T02_0309_a,2530683,0.04336963223238056,0.025599902341870054,2235852,30014,264817,3
semseg-ptv3-pheno4d-tomato,0,I16_r10,1023,152810,0,0,0,0,21627,904,0,8002,122277,Tomato02,T02_0309_a,2530683,0.04336963223238056,0.025599902341870054,2235852,30014,264817,3
