model,seed,mask,nseed,npts,c00,c01,c02,c10,c11,c12,c20,c21,c22,plant,scan,n,nn_all,nn_plant,n_soil,n_stem,n_leaf,n_leaves
semseg-ptv3-pheno4d-maize,0,global,-1,1311008,113519,0,1,1067,162608,362058,28466,7999,635290,Maize02,M02_0324_a,1311008,0.08913955350997162,0.0883682352431611,113520,525733,671755,4
semseg-ptv3-pheno4d-maize,0,A16_r1,810,5158,244,0,0,108,1049,1789,0,255,1713,Maize02,M02_0324_a,1311008,0.08913955350997162,0.0883682352431611,113520,525733,671755,4
semseg-ptv3-pheno4d-maize,0,A16_r2,810,14074,546,0,0,184,3245,4863,0,543,4693,Maize02,M02_0324_a,1311008,0.08913955350997162,0.0883682352431611,113520,525733,671755,4
semseg-ptv3-pheno4d-maize,0,A16_r5,810,53710,2138,0,0,705,17303,19364,86,678,13436,Maize02,M02_0324_a,1311008,0.08913955350997162,0.0883682352431611,113520,525733,671755,4
semseg-ptv3-pheno4d-maize,0,A16_r10,810,125228,8189,0,1,1059,48865,40095,114,998,25907,Maize02,M02_0324_a,1311008,0.08913955350997162,0.0883682352431611,113520,525733,671755,4
semseg-ptv3-pheno4d-maize,0,O8_r1,430,4299,0,0,0,0,908,1655,0,223,1513,Maize02,M02_0324_a,1311008,0.08913955350997162,0.0883682352431611,113520,525733,671755,4
semseg-ptv3-pheno4d-maize,0,O8_r2,430,12306,0,0,0,0,2965,4660,0,482,4199,Maize02,M02_0324_a,1311008,0.08913955350997162,0.0883682352431611,113520,525733,671755,4
semseg-ptv3-pheno4d-maize,0,O8_r5,430,48232,0,0,0,0,16403,18611,77,675,12466,Maize02,M02_0324_a,1311008,0.08913955350997162,0.0883682352431611,113520,525733,671755,4
semseg-ptv3-pheno4d-maize,0,O8_r10,430,111154,0,0,0,0,46765,38707,114,980,24588,Maize02,M02_0324_a,1311008,0.08913955350997162,0.0883682352431611,113520,525733,671755,4
semseg-ptv3-pheno4d-maize,0,O16_r1,704,4806,0,0,0,0,1049,1789,0,255,1713,Maize02,M02_0324_a,1311008,0.08913955350997162,0.0883682352431611,113520,525733,671755,4
semseg-ptv3-pheno4d-maize,0,O16_r2,704,13313,0,0,0,0,3227,4850,0,543,4693,Maize02,M02_0324_a,1311008,0.08913955350997162,0.0883682352431611,113520,525733,671755,4
semseg-ptv3-pheno4d-maize,0,O16_r5,704,50519,0,0,0,0,16995,19324,86,678,13436,Maize02,M02_0324_a,1311008,0.08913955350997162,0.0883682352431611,113520,525733,671755,4
semseg-ptv3-pheno4d-maize,0,O16_r10,704,113969,0,0,0,0,47315,39635,114,998,25907,Maize02,M02_0324_a,1311008,0.08913955350997162,0.0883682352431611,113520,525733,671755,4
semseg-ptv3-pheno4d-maize,0,O32_r1,1151,5609,0,0,0,0,1212,2092,0,339,1966,Maize02,M02_0324_a,1311008,0.08913955350997162,0.0883682352431611,113520,525733,671755,4
semseg-ptv3-pheno4d-maize,0,O32_r2,1151,14983,0,0,0,0,3610,5203,0,609,5561,Maize02,M02_0324_a,1311008,0.08913955350997162,0.0883682352431611,113520,525733,671755,4
