model,seed,mask,nseed,npts,c00,c01,c02,c10,c11,c12,c20,c21,c22,plant,scan,n,nn_all,nn_plant,n_soil,n_stem,n_leaf,n_leaves
semseg-ptv3-pheno4d-maize,0,global,-1,861631,427731,0,0,898,126256,174046,105,1334,131261,Maize02,M02_0317_a,861631,0.0852417737946688,0.07646626707245222,427731,301200,132700,2
semseg-ptv3-pheno4d-maize,0,A16_r1,610,4179,565,0,0,90,1830,12,10,1107,565,Maize02,M02_0317_a,861631,0.0852417737946688,0.07646626707245222,427731,301200,132700,2
semseg-ptv3-pheno4d-maize,0,A16_r2,610,9567,2027,0,0,93,4337,19,16,1334,1741,Maize02,M02_0317_a,861631,0.0852417737946688,0.07646626707245222,427731,301200,132700,2
semseg-ptv3-pheno4d-maize,0,A16_r5,610,35627,11373,0,0,93,16761,19,88,1334,5959,Maize02,M02_0317_a,861631,0.0852417737946688,0.07646626707245222,427731,301200,132700,2
semseg-ptv3-pheno4d-maize,0,A16_r10,610,84893,32637,0,0,93,38396,19,89,1334,12325,Maize02,M02_0317_a,861631,0.0852417737946688,0.07646626707245222,427731,301200,132700,2
semseg-ptv3-pheno4d-maize,0,O8_r1,312,3285,0,0,0,0,1722,10,9,1056,488,Maize02,M02_0317_a,861631,0.0852417737946688,0.07646626707245222,427731,301200,132700,2
semseg-ptv3-pheno4d-maize,0,O8_r2,312,6848,0,0,0,0,3859,19,15,1333,1622,Maize02,M02_0317_a,861631,0.0852417737946688,0.07646626707245222,427731,301200,132700,2
semseg-ptv3-pheno4d-maize,0,O8_r5,312,19777,0,0,0,0,12467,19,88,1334,5869,Maize02,M02_0317_a,861631,0.0852417737946688,0.07646626707245222,427731,301200,132700,2
semseg-ptv3-pheno4d-maize,0,O8_r10,312,41713,0,0,0,0,28012,19,89,1334,12259,Maize02,M02_0317_a,861631,0.0852417737946688,0.07646626707245222,427731,301200,132700,2
semseg-ptv3-pheno4d-maize,0,O16_r1,529,3485,0,0,0,0,1791,12,10,1107,565,Maize02,M02_0317_a,861631,0.0852417737946688,0.07646626707245222,427731,301200,132700,2
semseg-ptv3-pheno4d-maize,0,O16_r2,529,7063,0,0,0,0,3953,19,16,1334,1741,Maize02,M02_0317_a,861631,0.0852417737946688,0.07646626707245222,427731,301200,132700,2
semseg-ptv3-pheno4d-maize,0,O16_r5,529,20141,0,0,0,0,12741,19,88,1334,5959,Maize02,M02_0317_a,861631,0.0852417737946688,0.07646626707245222,427731,301200,132700,2
