model,seed,mask,nseed,npts,c00,c01,c02,c10,c11,c12,c20,c21,c22,plant,scan,n,nn_all,nn_plant,n_soil,n_stem,n_leaf,n_leaves
semseg-ptv3-pheno4d-maize,0,global,-1,1114990,221398,802,0,103,218025,442368,2458,12113,217723,Maize01,M01_0321_a,1114990,0.08570189612830624,0.07927994702068505,222200,660496,232294,2
semseg-ptv3-pheno4d-maize,0,A16_r1,810,5338,1058,702,0,42,2314,59,6,952,205,Maize01,M01_0321_a,1114990,0.08570189612830624,0.07927994702068505,222200,660496,232294,2
semseg-ptv3-pheno4d-maize,0,A16_r2,810,13340,4135,802,0,42,5391,144,6,2355,465,Maize01,M01_0321_a,1114990,0.08570189612830624,0.07927994702068505,222200,660496,232294,2
semseg-ptv3-pheno4d-maize,0,A16_r5,810,43500,13473,802,0,42,18470,571,6,7634,2502,Maize01,M01_0321_a,1114990,0.08570189612830624,0.07927994702068505,222200,660496,232294,2
semseg-ptv3-pheno4d-maize,0,A16_r10,810,101149,29579,802,0,95,39062,602,356,12113,18540,Maize01,M01_0321_a,1114990,0.08570189612830624,0.07927994702068505,222200,660496,232294,2
semseg-ptv3-pheno4d-maize,0,O8_r1,148,1330,0,0,0,0,777,52,0,315,186,Maize01,M01_0321_a,1114990,0.08570189612830624,0.07927994702068505,222200,660496,232294,2
semseg-ptv3-pheno4d-maize,0,O8_r2,148,4141,0,0,0,0,2703,138,0,850,450,Maize01,M01_0321_a,1114990,0.08570189612830624,0.07927994702068505,222200,660496,232294,2
semseg-ptv3-pheno4d-maize,0,O8_r5,148,18557,0,0,0,0,12653,571,0,2928,2405,Maize01,M01_0321_a,1114990,0.08570189612830624,0.07927994702068505,222200,660496,232294,2
semseg-ptv3-pheno4d-maize,0,O8_r10,148,47277,0,0,0,0,28501,602,0,3894,14280,Maize01,M01_0321_a,1114990,0.08570189612830624,0.07927994702068505,222200,660496,232294,2
semseg-ptv3-pheno4d-maize,0,O16_r1,228,1545,0,0,0,0,936,59,0,345,205,Maize01,M01_0321_a,1114990,0.08570189612830624,0.07927994702068505,222200,660496,232294,2
semseg-ptv3-pheno4d-maize,0,O16_r2,228,4482,0,0,0,0,2907,144,0,966,465,Maize01,M01_0321_a,1114990,0.08570189612830624,0.07927994702068505,222200,660496,232294,2
semseg-ptv3-pheno4d-maize,0,O16_r5,228,18958,0,0,0,0,12955,571,0,2930,2502,Maize01,M01_0321_a,1114990,0.08570189612830624,0.07927994702068505,222200,660496,232294,2
semseg-ptv3-pheno4d-maize,0,O16_r10,228,47508,0,0,0,0,28732,602,0,3894,14280,Maize01,M01_0321_a,1114990,0.08570189612830624,0.07927994702068505,222200,660496,232294,2
semseg-ptv3-pheno4d-maize,0,O32_r1,368,1919,0,0,0,0,1172,86,0,426,235,Maize01,M01_0321_a,1114990,0.08570189612830624,0.07927994702068505,222200,660496,232294,2
semseg-ptv3-pheno4d-maize,0,O32_r2,368,5078,0,0,0,0,3262,221,0,1018,577,Maize01,M01_0321_a,1114990,0.08570189612830624,0.07927994702068505,222200,660496,232294,2
semseg-ptv3-pheno4d-maize,0,O32_r5,368,20259,0,0,0,0,13763,601,0,2933,2962,Maize01,M01_0321_a,1114990,0.08570189612830624,0.07927994702068505,222200,660496,232294,2
semseg-ptv3-pheno4d-maize,0,O32_r10,368,49142,0,0,0,0,29578,602,0,3894,15068,Maize01,M01_0321_a,1114990,0.08570189612830624,0.07927994702068505,222200,660496,232294,2
semseg-ptv3-pheno4d-maize,0,I16_r1,228,1545,0,0,0,0,936,59,0,345,205,Maize01,M01_0321_a,1114990,0.08570189612830624,0.07927994702068505,222200,660496,232294,2
semseg-ptv3-pheno4d-maize,0,I16_r2,228,4482,0,0,0,0,2907,144,0,966,465,Maize01,M01_0321_a,1114990,0.08570189612830624,0.07927994702068505,222200,660496,232294,2
semseg-ptv3-pheno4d-maize,0,I16_r5,228,18958,0,0,0,0,12955,571,0,2930,2502,Maize01,M01_0321_a,1114990,0.08570189612830624,0.07927994702068505,222200,660496,232294,2
semseg-ptv3-pheno4d-maize,0,I16_r10,228,47508,0,0,0,0,28732,602,0,3894,14280,Maize01,M01_0321_a,1114990,0.08570189612830624,0.07927994702068505,222200,660496,232294,2
