model,seed,mask,nseed,npts,c00,c01,c02,c10,c11,c12,c20,c21,c22,plant,scan,n,nn_all,nn_plant,n_soil,n_stem,n_leaf,n_leaves
semseg-ptv3-pheno4d-tomato,0,global,-1,1774166,276162,196,3,725,91824,1931,3085,6549,1393691,Tomato02,T02_0321_a,1774166,0.08824559479084539,0.08728121218222569,276361,94480,1403325,20
semseg-ptv3-pheno4d-tomato,0,A16_r1,3242,18696,1085,189,0,280,5698,1754,35,1941,7714,Tomato02,T02_0321_a,1774166,0.08824559479084539,0.08728121218222569,276361,94480,1403325,20
semseg-ptv3-pheno4d-tomato,0,A16_r2,3242,51281,2637,196,0,290,14222,1908,101,3791,28136,Tomato02,T02_0321_a,1774166,0.08824559479084539,0.08728121218222569,276361,94480,1403325,20
semseg-ptv3-pheno4d-tomato,0,A16_r5,3242,195804,10384,196,0,437,36317,1931,300,6140,140099,Tomato02,T02_0321_a,1774166,0.08824559479084539,0.08728121218222569,276361,94480,1403325,20
semseg-ptv3-pheno4d-tomato,0,A16_r10,3242,489676,27601,196,0,562,57592,1931,932,6549,394313,Tomato02,T02_0321_a,1774166,0.08824559479084539,0.08728121218222569,276361,94480,1403325,20
semseg-ptv3-pheno4d-tomato,0,O8_r1,1705,14502,0,0,0,30,4047,1683,34,1849,6859,Tomato02,T02_0321_a,1774166,0.08824559479084539,0.08728121218222569,276361,94480,1403325,20
semseg-ptv3-pheno4d-tomato,0,O8_r2,1705,42240,0,0,0,44,11189,1882,101,3699,25325,Tomato02,T02_0321_a,1774166,0.08824559479084539,0.08728121218222569,276361,94480,1403325,20
semseg-ptv3-pheno4d-tomato,0,O8_r5,1705,171887,0,0,0,189,31022,1931,300,6047,132398,Tomato02,T02_0321_a,1774166,0.08824559479084539,0.08728121218222569,276361,94480,1403325,20
semseg-ptv3-pheno4d-tomato,0,O8_r10,1705,449600,0,0,0,309,51654,1931,932,6549,388225,Tomato02,T02_0321_a,1774166,0.08824559479084539,0.08728121218222569,276361,94480,1403325,20
semseg-ptv3-pheno4d-tomato,0,O16_r1,2633,16111,0,0,0,35,4632,1754,35,1941,7714,Tomato02,T02_0321_a,1774166,0.08824559479084539,0.08728121218222569,276361,94480,1403325,20
semseg-ptv3-pheno4d-tomato,0,O16_r2,2633,45744,0,0,0,45,11763,1908,101,3791,28136,Tomato02,T02_0321_a,1774166,0.08824559479084539,0.08728121218222569,276361,94480,1403325,20
semseg-ptv3-pheno4d-tomato,0,O16_r5,2633,180578,0,0,0,192,31916,1931,300,6140,140099,Tomato02,T02_0321_a,1774166,0.08824559479084539,0.08728121218222569,276361,94480,1403325,20
semseg-ptv3-pheno4d-tomato,0,O16_r10,2633,455760,0,0,0,317,51718,1931,932,6549,394313,Tomato02,T02_0321_a,1774166,0.08824559479084539,0.08728121218222569,276361,94480,1403325,20
semseg-ptv3-pheno4d-tomato,0,O32_r1,3863,18446,0,0,0,36,5298,1811,68,2147,9086,Tomato02,T02_0321_a,1774166,0.08824559479084539,0.08728121218222569,276361,94480,1403325,20
semseg-ptv3-pheno4d-tomato,0,O32_r2,3863,49647,0,0,0,45,12468,1908,108,3903,31215,Tomato02,T02_0321_a,1774166,0.08824559479084539,0.08728121218222569,276361,94480,1403325,20
semseg-ptv3-pheno4d-tomato,0,O32_r5,3863,187528,0,0,0,194,33265,1931,313,6143,145682,Tomato02,T02_0321_a,1774166,0.08824559479084539,0.08728121218222569,276361,94480,1403325,20
semseg-ptv3-pheno4d-tomato,0,O32_r10,3863,464905,0,0,0,327,51814,1931,932,6549,403352,Tomato02,T02_0321_a,1774166,0.08824559479084539,0.08728121218222569,276361,94480,1403325,20
