model,seed,mask,nseed,npts,c00,c01,c02,c10,c11,c12,c20,c21,c22,plant,scan,n,nn_all,nn_plant,n_soil,n_stem,n_leaf,n_leaves
semseg-ptv3-pheno4d-tomato,0,global,-1,2450405,568020,102,0,1445,156952,5625,3,38204,1680054,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,0,A16_r1,3872,37742,3205,53,0,1401,9799,4141,0,7422,11721,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,0,A16_r2,3872,87869,5890,102,0,1445,26813,5388,0,12290,35941,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,0,A16_r5,3872,302495,17180,102,0,1445,76445,5625,0,28368,173330,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,0,A16_r10,3872,735622,37077,102,0,1445,109795,5625,3,38204,543371,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,0,O8_r1,2015,30047,0,0,0,0,8058,4056,0,7112,10821,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,0,O8_r2,2015,73150,0,0,0,0,21568,5374,0,12030,34178,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,0,O8_r5,2015,271287,0,0,0,0,67269,5625,0,28127,170266,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,0,O8_r10,2015,677035,0,0,0,0,93801,5625,3,38204,539402,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,0,O16_r1,3133,31872,0,0,0,0,8588,4141,0,7422,11721,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,0,O16_r2,3133,76158,0,0,0,0,22539,5388,0,12290,35941,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,0,O16_r5,3133,274727,0,0,0,0,67404,5625,0,28368,173330,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,0,O16_r10,3133,681712,0,0,0,0,94509,5625,3,38204,543371,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,0,O32_r1,4652,34544,0,0,0,0,9518,4292,0,7931,12803,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,0,O32_r2,4652,80427,0,0,0,0,24170,5410,0,12726,38121,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,0,O32_r5,4652,280206,0,0,0,0,68145,5625,0,28852,177584,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,0,O32_r10,4652,687527,0,0,0,0,95349,5625,3,38204,548346,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,0,I16_r1,4215,44779,0,0,0,0,8588,4141,0,7474,24576,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,0,I16_r2,4215,111977,0,0,0,0,22539,5388,0,12450,71600,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,0,I16_r5,4215,405725,0,0,0,0,67404,5625,0,28426,304270,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,0,I16_r10,4215,919538,0,0,0,0,94509,5625,3,38204,781197,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,1,global,-1,2450405,568083,39,0,1350,158331,4341,8,27406,1690847,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,1,A16_r1,3872,37742,3220,38,0,1325,10542,3474,0,7805,11338,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,1,A16_r2,3872,87869,5953,39,0,1350,28041,4255,0,12899,35332,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,1,A16_r5,3872,302495,17243,39,0,1350,77824,4341,5,24450,177243,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,1,A16_r10,3872,735622,37140,39,0,1350,111174,4341,8,27406,554164,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,1,O8_r1,2015,30047,0,0,0,0,8673,3441,0,7493,10440,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,1,O8_r2,2015,73150,0,0,0,0,22704,4238,0,12631,33577,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,1,O8_r5,2015,271287,0,0,0,0,68553,4341,1,24319,174073,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,1,O8_r10,2015,677035,0,0,0,0,95085,4341,8,27406,550195,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,1,O16_r1,3133,31872,0,0,0,0,9255,3474,0,7805,11338,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,1,O16_r2,3133,76158,0,0,0,0,23672,4255,0,12899,35332,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,1,O16_r5,3133,274727,0,0,0,0,68688,4341,5,24450,177243,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,1,O16_r10,3133,681712,0,0,0,0,95793,4341,8,27406,554164,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,1,O32_r1,4652,34544,0,0,0,0,10209,3601,0,8314,12420,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,1,O32_r2,4652,80427,0,0,0,0,25274,4306,0,13335,37512,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,1,O32_r5,4652,280206,0,0,0,0,69429,4341,5,24767,181664,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,1,O32_r10,4652,687527,0,0,0,0,96633,4341,8,27406,559139,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,1,I16_r1,4215,44779,0,0,0,0,9255,3474,0,7857,24193,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,1,I16_r2,4215,111977,0,0,0,0,23672,4255,0,13059,70991,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,1,I16_r5,4215,405725,0,0,0,0,68688,4341,5,24508,308183,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
semseg-ptv3-pheno4d-tomato,1,I16_r10,4215,919538,0,0,0,0,95793,4341,8,27406,791990,Tomato01,T01_0317_a,2450405,0.05482731983216352,0.05117572666779415,568122,164022,1718261,14
