model,seed,mask,nseed,npts,c00,c01,c02,c10,c11,c12,c20,c21,c22,plant,scan,n,nn_all,nn_plant,n_soil,n_stem,n_leaf,n_leaves
semseg-ptv3-pheno4d-tomato,0,global,-1,3455376,292060,59,0,617,200314,16426,9765,1877,2934258,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,0,A16_r1,3687,30460,588,59,0,277,6650,5283,146,550,16907,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,0,A16_r2,3687,76576,1601,59,0,383,15279,7943,311,790,50210,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,0,A16_r5,3687,297666,7200,59,0,595,50012,13371,875,1052,224502,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,0,A16_r10,3687,796686,24076,59,0,617,92213,16426,2148,1870,659277,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,0,O8_r1,2094,26458,0,0,0,138,5515,4971,133,544,15157,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,0,O8_r2,2094,69807,0,0,0,238,13483,7709,282,778,47317,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,0,O8_r5,2094,281514,0,0,0,462,45851,13178,839,1052,220132,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,0,O8_r10,2094,757102,0,0,0,484,82908,16426,2092,1870,653322,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,0,O16_r1,3353,29251,0,0,0,152,6213,5283,146,550,16907,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,0,O16_r2,3353,73730,0,0,0,250,14226,7943,311,790,50210,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,0,O16_r5,3353,286676,0,0,0,462,46414,13371,875,1052,224502,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,0,O16_r10,3353,763423,0,0,0,484,83218,16426,2148,1870,659277,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,0,O32_r1,5144,32334,0,0,0,158,6877,5782,169,592,18756,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,0,O32_r2,5144,78679,0,0,0,257,15734,8175,328,881,53304,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,0,O32_r5,5144,297223,0,0,0,462,47995,13579,907,1442,232838,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,0,O32_r10,5144,777172,0,0,0,484,84035,16426,2190,1870,672167,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,0,I16_r1,4719,43247,0,0,0,152,6213,5283,146,550,30903,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,0,I16_r2,4719,110470,0,0,0,250,14227,7952,311,793,86937,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,0,I16_r5,4719,397325,0,0,0,462,46415,13371,875,1054,335148,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,0,I16_r10,4719,921211,0,0,0,484,83218,16426,2148,1870,817065,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,1,global,-1,3455376,292031,88,0,464,201009,15884,2500,991,2942409,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,1,A16_r1,3687,30460,561,86,0,244,7248,4718,97,841,16665,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
semseg-ptv3-pheno4d-tomato,1,A16_r2,3687,76576,1572,88,0,350,17020,6235,206,894,50211,Tomato02,T02_0325_a,3455376,0.06220679223331747,0.060470984776892965,292119,217357,2945900,29
