model,seed,mask,nseed,npts,c00,c01,c02,c10,c11,c12,c20,c21,c22,plant,scan,n,nn_all,nn_plant,n_soil,n_stem,n_leaf,n_leaves
semseg-ptv3-pheno4d-tomato,0,global,-1,1924288,1202809,535,0,68,69316,4323,0,483,646754,Tomato01,T01_0313_a,1924288,0.05131310748612665,0.04177295775978318,1203344,73707,647237,10
semseg-ptv3-pheno4d-tomato,0,A16_r1,2124,20329,1448,507,0,68,4371,3777,0,444,9714,Tomato01,T01_0313_a,1924288,0.05131310748612665,0.04177295775978318,1203344,73707,647237,10
semseg-ptv3-pheno4d-tomato,0,A16_r2,2124,53058,3333,535,0,68,14616,4323,0,483,29700,Tomato01,T01_0313_a,1924288,0.05131310748612665,0.04177295775978318,1203344,73707,647237,10
semseg-ptv3-pheno4d-tomato,0,A16_r5,2124,161966,19733,535,0,68,34931,4323,0,483,101893,Tomato01,T01_0313_a,1924288,0.05131310748612665,0.04177295775978318,1203344,73707,647237,10
semseg-ptv3-pheno4d-tomato,0,A16_r10,2124,365661,59241,535,0,68,54652,4323,0,483,246359,Tomato01,T01_0313_a,1924288,0.05131310748612665,0.04177295775978318,1203344,73707,647237,10
semseg-ptv3-pheno4d-tomato,0,O8_r1,1203,16432,0,0,0,0,3064,3720,0,434,9214,Tomato01,T01_0313_a,1924288,0.05131310748612665,0.04177295775978318,1203344,73707,647237,10
semseg-ptv3-pheno4d-tomato,0,O8_r2,1203,43685,0,0,0,0,11386,4323,0,483,27493,Tomato01,T01_0313_a,1924288,0.05131310748612665,0.04177295775978318,1203344,73707,647237,10
semseg-ptv3-pheno4d-tomato,0,O8_r5,1203,133811,0,0,0,0,29685,4323,0,483,99320,Tomato01,T01_0313_a,1924288,0.05131310748612665,0.04177295775978318,1203344,73707,647237,10
semseg-ptv3-pheno4d-tomato,0,O8_r10,1203,295705,0,0,0,0,46072,4323,0,483,244827,Tomato01,T01_0313_a,1924288,0.05131310748612665,0.04177295775978318,1203344,73707,647237,10
semseg-ptv3-pheno4d-tomato,0,O16_r1,1766,17372,0,0,0,0,3437,3777,0,444,9714,Tomato01,T01_0313_a,1924288,0.05131310748612665,0.04177295775978318,1203344,73707,647237,10
semseg-ptv3-pheno4d-tomato,0,O16_r2,1766,46914,0,0,0,0,12408,4323,0,483,29700,Tomato01,T01_0313_a,1924288,0.05131310748612665,0.04177295775978318,1203344,73707,647237,10
semseg-ptv3-pheno4d-tomato,0,O16_r5,1766,136632,0,0,0,0,29933,4323,0,483,101893,Tomato01,T01_0313_a,1924288,0.05131310748612665,0.04177295775978318,1203344,73707,647237,10
semseg-ptv3-pheno4d-tomato,0,O16_r10,1766,297328,0,0,0,0,46163,4323,0,483,246359,Tomato01,T01_0313_a,1924288,0.05131310748612665,0.04177295775978318,1203344,73707,647237,10
semseg-ptv3-pheno4d-tomato,0,O32_r1,2559,18750,0,0,0,0,3883,3845,0,444,10578,Tomato01,T01_0313_a,1924288,0.05131310748612665,0.04177295775978318,1203344,73707,647237,10
semseg-ptv3-pheno4d-tomato,0,O32_r2,2559,48704,0,0,0,0,12887,4323,0,483,31011,Tomato01,T01_0313_a,1924288,0.05131310748612665,0.04177295775978318,1203344,73707,647237,10
semseg-ptv3-pheno4d-tomato,0,O32_r5,2559,138900,0,0,0,0,30416,4323,0,483,103678,Tomato01,T01_0313_a,1924288,0.05131310748612665,0.04177295775978318,1203344,73707,647237,10
semseg-ptv3-pheno4d-tomato,0,O32_r10,2559,299721,0,0,0,0,46503,4323,0,483,248412,Tomato01,T01_0313_a,1924288,0.05131310748612665,0.04177295775978318,1203344,73707,647237,10
semseg-ptv3-pheno4d-tomato,0,I16_r1,2983,30806,0,0,0,0,3437,3777,0,447,23145,Tomato01,T01_0313_a,1924288,0.05131310748612665,0.04177295775978318,1203344,73707,647237,10
semseg-ptv3-pheno4d-tomato,0,I16_r2,2983,74922,0,0,0,0,12408,4323,0,483,57708,Tomato01,T01_0313_a,1924288,0.05131310748612665,0.04177295775978318,1203344,73707,647237,10
semseg-ptv3-pheno4d-tomato,0,I16_r5,2983,194024,0,0,0,0,29933,4323,0,483,159285,Tomato01,T01_0313_a,1924288,0.05131310748612665,0.04177295775978318,1203344,73707,647237,10
semseg-ptv3-pheno4d-tomato,0,I16_r10,2983,388224,0,0,0,0,46163,4323,0,483,337255,Tomato01,T01_0313_a,1924288,0.05131310748612665,0.04177295775978318,1203344,73707,647237,10
