model,seed,mask,nseed,npts,c00,c01,c02,c10,c11,c12,c20,c21,c22,plant,scan,n,nn_all,nn_plant,n_soil,n_stem,n_leaf,n_leaves
semseg-ptv3-pheno4d-maize,0,global,-1,1301557,937155,1445,0,112,128014,131486,8,1887,101450,Maize01,M01_0315_a,1301557,0.0675796566931651,0.05368323760731228,938600,259612,103345,1
semseg-ptv3-pheno4d-maize,0,A16_r1,495,5467,1576,1074,0,1,2047,0,0,756,13,Maize01,M01_0315_a,1301557,0.0675796566931651,0.05368323760731228,938600,259612,103345,1
semseg-ptv3-pheno4d-maize,0,A16_r2,495,11664,4456,1445,0,1,4277,0,0,1306,179,Maize01,M01_0315_a,1301557,0.0675796566931651,0.05368323760731228,938600,259612,103345,1
semseg-ptv3-pheno4d-maize,0,A16_r5,495,34672,14376,1445,0,1,13372,0,0,1887,3591,Maize01,M01_0315_a,1301557,0.0675796566931651,0.05368323760731228,938600,259612,103345,1
semseg-ptv3-pheno4d-maize,0,A16_r10,495,90502,39357,1445,0,24,33733,0,0,1887,14056,Maize01,M01_0315_a,1301557,0.0675796566931651,0.05368323760731228,938600,259612,103345,1
semseg-ptv3-pheno4d-maize,0,O8_r1,131,1216,0,0,0,0,499,0,0,713,4,Maize01,M01_0315_a,1301557,0.0675796566931651,0.05368323760731228,938600,259612,103345,1
semseg-ptv3-pheno4d-maize,0,O8_r2,131,2957,0,0,0,0,1514,0,0,1279,164,Maize01,M01_0315_a,1301557,0.0675796566931651,0.05368323760731228,938600,259612,103345,1
semseg-ptv3-pheno4d-maize,0,O8_r5,131,10639,0,0,0,0,5298,0,0,1887,3454,Maize01,M01_0315_a,1301557,0.0675796566931651,0.05368323760731228,938600,259612,103345,1
semseg-ptv3-pheno4d-maize,0,O8_r10,131,31320,0,0,0,0,15490,0,0,1887,13943,Maize01,M01_0315_a,1301557,0.0675796566931651,0.05368323760731228,938600,259612,103345,1
semseg-ptv3-pheno4d-maize,0,O16_r1,194,1306,0,0,0,0,537,0,0,756,13,Maize01,M01_0315_a,1301557,0.0675796566931651,0.05368323760731228,938600,259612,103345,1
semseg-ptv3-pheno4d-maize,0,O16_r2,194,3107,0,0,0,0,1622,0,0,1306,179,Maize01,M01_0315_a,1301557,0.0675796566931651,0.05368323760731228,938600,259612,103345,1
semseg-ptv3-pheno4d-maize,0,O16_r5,194,10852,0,0,0,0,5374,0,0,1887,3591,Maize01,M01_0315_a,1301557,0.0675796566931651,0.05368323760731228,938600,259612,103345,1
semseg-ptv3-pheno4d-maize,0,O16_r10,194,31613,0,0,0,0,15670,0,0,1887,14056,Maize01,M01_0315_a,1301557,0.0675796566931651,0.05368323760731228,938600,259612,103345,1
