model,seed,mask,nseed,npts,c00,c01,c02,c10,c11,c12,c20,c21,c22,plant,scan,n,nn_all,nn_plant,n_soil,n_stem,n_leaf,n_leaves
semseg-ptv3-pheno4d-maize,0,global,-1,860826,384178,1146,0,193,212885,59372,25,1325,201702,Maize01,M01_0319_a,860826,0.08513950316978156,0.07655850703872656,385324,272450,203052,2
semseg-ptv3-pheno4d-maize,0,A16_r1,621,4707,508,992,0,4,2150,0,0,899,154,Maize01,M01_0319_a,860826,0.08513950316978156,0.07655850703872656,385324,272450,203052,2
semseg-ptv3-pheno4d-maize,0,A16_r2,621,11368,2607,1141,0,4,5532,0,0,1281,803,Maize01,M01_0319_a,860826,0.08513950316978156,0.07655850703872656,385324,272450,203052,2
semseg-ptv3-pheno4d-maize,0,A16_r5,621,30738,8476,1146,0,4,15583,0,0,1325,4204,Maize01,M01_0319_a,860826,0.08513950316978156,0.07655850703872656,385324,272450,203052,2
semseg-ptv3-pheno4d-maize,0,A16_r10,621,67594,21762,1146,0,193,30658,0,0,1325,12510,Maize01,M01_0319_a,860826,0.08513950316978156,0.07655850703872656,385324,272450,203052,2
semseg-ptv3-pheno4d-maize,0,O8_r1,242,2387,0,0,0,0,1393,0,0,859,135,Maize01,M01_0319_a,860826,0.08513950316978156,0.07655850703872656,385324,272450,203052,2
semseg-ptv3-pheno4d-maize,0,O8_r2,242,5772,0,0,0,0,3757,0,0,1263,752,Maize01,M01_0319_a,860826,0.08513950316978156,0.07655850703872656,385324,272450,203052,2
semseg-ptv3-pheno4d-maize,0,O8_r5,242,16555,0,0,0,0,11087,0,0,1325,4143,Maize01,M01_0319_a,860826,0.08513950316978156,0.07655850703872656,385324,272450,203052,2
semseg-ptv3-pheno4d-maize,0,O8_r10,242,36084,0,0,0,0,22290,0,0,1325,12469,Maize01,M01_0319_a,860826,0.08513950316978156,0.07655850703872656,385324,272450,203052,2
semseg-ptv3-pheno4d-maize,0,O16_r1,358,2623,0,0,0,0,1570,0,0,899,154,Maize01,M01_0319_a,860826,0.08513950316978156,0.07655850703872656,385324,272450,203052,2
semseg-ptv3-pheno4d-maize,0,O16_r2,358,6073,0,0,0,0,3989,0,0,1281,803,Maize01,M01_0319_a,860826,0.08513950316978156,0.07655850703872656,385324,272450,203052,2
semseg-ptv3-pheno4d-maize,0,O16_r5,358,16767,0,0,0,0,11238,0,0,1325,4204,Maize01,M01_0319_a,860826,0.08513950316978156,0.07655850703872656,385324,272450,203052,2
semseg-ptv3-pheno4d-maize,0,O16_r10,358,36355,0,0,0,0,22520,0,0,1325,12510,Maize01,M01_0319_a,860826,0.08513950316978156,0.07655850703872656,385324,272450,203052,2
semseg-ptv3-pheno4d-maize,0,O32_r1,598,3004,0,0,0,0,1807,0,0,970,227,Maize01,M01_0319_a,860826,0.08513950316978156,0.07655850703872656,385324,272450,203052,2
semseg-ptv3-pheno4d-maize,0,O32_r2,598,6804,0,0,0,0,4442,0,0,1305,1057,Maize01,M01_0319_a,860826,0.08513950316978156,0.07655850703872656,385324,272450,203052,2
semseg-ptv3-pheno4d-maize,0,O32_r5,598,18686,0,0,0,0,12599,0,0,1325,4762,Maize01,M01_0319_a,860826,0.08513950316978156,0.07655850703872656,385324,272450,203052,2
semseg-ptv3-pheno4d-maize,0,O32_r10,598,39076,0,0,0,0,24395,0,0,1325,13356,Maize01,M01_0319_a,860826,0.08513950316978156,0.07655850703872656,385324,272450,203052,2
semseg-ptv3-pheno4d-maize,0,I16_r1,358,2623,0,0,0,0,1570,0,0,899,154,Maize01,M01_0319_a,860826,0.08513950316978156,0.07655850703872656,385324,272450,203052,2
semseg-ptv3-pheno4d-maize,0,I16_r2,358,6073,0,0,0,0,3989,0,0,1281,803,Maize01,M01_0319_a,860826,0.08513950316978156,0.07655850703872656,385324,272450,203052,2
semseg-ptv3-pheno4d-maize,0,I16_r5,358,16767,0,0,0,0,11238,0,0,1325,4204,Maize01,M01_0319_a,860826,0.08513950316978156,0.07655850703872656,385324,272450,203052,2
