model,seed,mask,nseed,npts,c00,c01,c02,c10,c11,c12,c20,c21,c22,plant,scan,n,nn_all,nn_plant,n_soil,n_stem,n_leaf,n_leaves
semseg-ptv3-pheno4d-maize,0,global,-1,1729943,1384868,10,0,241,160243,90183,348,2054,91996,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,0,A16_r1,412,3265,851,10,0,228,1464,0,0,712,0,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,0,A16_r2,412,9401,3351,10,0,240,4326,0,1,1412,61,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,0,A16_r5,412,46132,23927,10,0,240,15735,0,222,2054,3944,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,0,A16_r10,412,126630,78285,10,0,240,33808,0,294,2054,11939,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,0,O8_r1,179,1491,0,0,0,0,813,0,0,678,0,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,0,O8_r2,179,3011,0,0,0,0,1822,0,0,1189,0,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,0,O8_r5,179,10083,0,0,0,0,4616,0,208,2054,3205,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,0,O8_r10,179,27458,0,0,0,0,13558,0,294,2054,11552,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,0,O16_r1,264,1619,0,0,0,0,907,0,0,712,0,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,0,O16_r2,264,3508,0,0,0,0,2034,0,1,1412,61,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,0,O16_r5,264,11583,0,0,0,0,5363,0,222,2054,3944,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,0,O16_r10,264,30648,0,0,0,0,16361,0,294,2054,11939,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,0,O32_r1,404,1985,0,0,0,0,1155,0,0,830,0,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,0,O32_r2,404,3871,0,0,0,0,2262,0,1,1547,61,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,0,O32_r5,404,12123,0,0,0,0,5653,0,222,2054,4194,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,0,O32_r10,404,31807,0,0,0,0,17045,0,294,2054,12414,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,0,I16_r1,264,1619,0,0,0,0,907,0,0,712,0,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,0,I16_r2,264,3508,0,0,0,0,2034,0,1,1412,61,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,0,I16_r5,264,11583,0,0,0,0,5363,0,222,2054,3944,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,0,I16_r10,264,30648,0,0,0,0,16361,0,294,2054,11939,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,1,global,-1,1729943,1384877,1,0,675,139118,110874,0,37,94361,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,1,A16_r1,412,3265,860,1,0,521,1065,106,0,37,675,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,1,A16_r2,412,9401,3360,1,0,675,3668,223,0,37,1437,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,1,A16_r5,412,46132,23936,1,0,675,15071,229,0,37,6183,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,1,A16_r10,412,126630,78294,1,0,675,33144,229,0,37,14250,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,1,O8_r1,179,1491,0,0,0,0,729,84,0,37,641,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,1,O8_r2,179,3011,0,0,0,0,1631,191,0,37,1152,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,1,O8_r5,179,10083,0,0,0,0,4387,229,0,37,5430,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,1,O8_r10,179,27458,0,0,0,0,13329,229,0,37,13863,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,1,O16_r1,264,1619,0,0,0,0,801,106,0,37,675,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
semseg-ptv3-pheno4d-maize,1,O16_r2,264,3508,0,0,0,0,1811,223,0,37,1437,Maize02,M02_0313_a,1729943,0.06396135551934631,0.04834676824595248,1384878,250667,94398,1
