model,seed,mask,nseed,npts,c00,c01,c02,c10,c11,c12,c20,c21,c22,plant,scan,n,nn_all,nn_plant,n_soil,n_stem,n_leaf,n_leaves
semseg-ptv3-pheno4d-tomato,0,global,-1,1962709,1817679,397,0,5,12116,268,0,437,131807,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,0,A16_r1,545,6938,1983,392,0,5,2113,268,0,437,1740,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,0,A16_r2,545,18539,7231,397,0,5,5322,268,0,437,4879,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,0,A16_r5,545,70094,36732,397,0,5,8203,268,0,437,24052,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,0,A16_r10,545,207276,127595,397,0,5,10784,268,0,437,67790,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,0,O8_r1,254,3615,0,0,0,0,1243,268,0,437,1667,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,0,O8_r2,254,8911,0,0,0,0,3504,268,0,437,4702,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,0,O8_r5,254,29419,0,0,0,0,5133,268,0,437,23581,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,0,O8_r10,254,74370,0,0,0,0,6625,268,0,437,67040,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,0,O16_r1,368,3743,0,0,0,0,1298,268,0,437,1740,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,0,O16_r2,368,9177,0,0,0,0,3593,268,0,437,4879,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,0,O16_r5,368,29897,0,0,0,0,5140,268,0,437,24052,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,0,O16_r10,368,75148,0,0,0,0,6653,268,0,437,67790,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,0,O32_r1,520,3931,0,0,0,0,1361,268,0,437,1865,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,0,O32_r2,520,9533,0,0,0,0,3721,268,0,437,5107,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,0,O32_r5,520,30293,0,0,0,0,5165,268,0,437,24423,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,0,O32_r10,520,75701,0,0,0,0,6740,268,0,437,68256,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,0,I16_r1,368,3743,0,0,0,0,1298,268,0,437,1740,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,0,I16_r2,368,9177,0,0,0,0,3593,268,0,437,4879,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,0,I16_r5,368,29897,0,0,0,0,5140,268,0,437,24052,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,0,I16_r10,368,75148,0,0,0,0,6653,268,0,437,67790,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,1,global,-1,1962709,1817721,355,0,5,12056,328,0,620,131624,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,1,A16_r1,545,6938,2022,353,0,5,2053,328,0,618,1559,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,1,A16_r2,545,18539,7273,355,0,5,5262,328,0,620,4696,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,1,A16_r5,545,70094,36774,355,0,5,8143,328,0,620,23869,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,1,A16_r10,545,207276,127637,355,0,5,10724,328,0,620,67607,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,1,O8_r1,254,3615,0,0,0,0,1183,328,0,609,1495,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,1,O8_r2,254,8911,0,0,0,0,3444,328,0,620,4519,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,1,O8_r5,254,29419,0,0,0,0,5073,328,0,620,23398,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,1,O8_r10,254,74370,0,0,0,0,6565,328,0,620,66857,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,1,O16_r1,368,3743,0,0,0,0,1238,328,0,618,1559,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,1,O16_r2,368,9177,0,0,0,0,3533,328,0,620,4696,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,1,O16_r5,368,29897,0,0,0,0,5080,328,0,620,23869,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,1,O16_r10,368,75148,0,0,0,0,6593,328,0,620,67607,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,1,O32_r1,520,3931,0,0,0,0,1301,328,0,620,1682,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,1,O32_r2,520,9533,0,0,0,0,3661,328,0,620,4924,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,1,O32_r5,520,30293,0,0,0,0,5105,328,0,620,24240,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,1,O32_r10,520,75701,0,0,0,0,6680,328,0,620,68073,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,1,I16_r1,368,3743,0,0,0,0,1238,328,0,618,1559,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,1,I16_r2,368,9177,0,0,0,0,3533,328,0,620,4696,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,1,I16_r5,368,29897,0,0,0,0,5080,328,0,620,23869,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,1,I16_r10,368,75148,0,0,0,0,6593,328,0,620,67607,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
semseg-ptv3-pheno4d-tomato,2,global,-1,1962709,1817682,394,0,6,11756,627,0,716,131528,Tomato01,T01_0305_a,1962709,0.05844223643902744,0.03383326765184116,1818076,12389,132244,2
