model,seed,mask,nseed,npts,c00,c01,c02,c10,c11,c12,c20,c21,c22,plant,scan,n,nn_all,nn_plant,n_soil,n_stem,n_leaf,n_leaves
semseg-ptv3-pheno4d-tomato,0,global,-1,2136519,1440586,110,0,257,53804,1389,0,19,640354,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,0,A16_r1,1198,9266,1422,110,0,177,2365,1380,0,19,3793,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,0,A16_r2,1198,23609,4588,110,0,244,6467,1389,0,19,10792,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,0,A16_r5,1198,84010,19205,110,0,257,17629,1389,0,19,45401,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,0,A16_r10,1198,236580,41877,110,0,257,38940,1389,0,19,153988,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,0,O8_r1,554,6168,0,0,0,0,1224,1376,0,19,3549,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,0,O8_r2,554,15622,0,0,0,0,3723,1389,0,19,10491,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,0,O8_r5,554,56652,0,0,0,0,10539,1389,0,19,44705,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,0,O8_r10,554,181473,0,0,0,0,27293,1389,0,19,152772,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,0,O16_r1,808,6568,0,0,0,0,1376,1380,0,19,3793,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,0,O16_r2,808,16088,0,0,0,0,3888,1389,0,19,10792,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,0,O16_r5,808,57605,0,0,0,0,10796,1389,0,19,45401,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,0,O16_r10,808,182769,0,0,0,0,27373,1389,0,19,153988,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,0,O32_r1,1146,7191,0,0,0,0,1483,1383,0,19,4306,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,0,O32_r2,1146,16895,0,0,0,0,3985,1389,0,19,11502,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,0,O32_r5,1146,59121,0,0,0,0,10909,1389,0,19,46804,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,0,O32_r10,1146,185463,0,0,0,0,27456,1389,0,19,156599,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,0,I16_r1,1035,11569,0,0,0,0,1376,1380,0,19,8794,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,0,I16_r2,1035,27854,0,0,0,0,3888,1389,0,19,22558,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,0,I16_r5,1035,85754,0,0,0,0,12193,1389,0,19,72153,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,0,I16_r10,1035,217835,0,0,0,0,27440,1389,0,19,188987,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,1,global,-1,2136519,1440542,154,0,270,54317,863,0,186,640187,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,1,A16_r1,1198,9266,1378,154,0,185,2903,834,0,184,3628,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,1,A16_r2,1198,23609,4544,154,0,257,6980,863,0,186,10625,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,1,A16_r5,1198,84010,19161,154,0,270,18142,863,0,186,45234,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,1,A16_r10,1198,236580,41833,154,0,270,39453,863,0,186,153821,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,1,O8_r1,554,6168,0,0,0,0,1771,829,0,184,3384,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,1,O8_r2,554,15622,0,0,0,0,4249,863,0,186,10324,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,1,O8_r5,554,56652,0,0,0,0,11065,863,0,186,44538,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,1,O8_r10,554,181473,0,0,0,0,27819,863,0,186,152605,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,1,O16_r1,808,6568,0,0,0,0,1922,834,0,184,3628,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,1,O16_r2,808,16088,0,0,0,0,4414,863,0,186,10625,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,1,O16_r5,808,57605,0,0,0,0,11322,863,0,186,45234,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
semseg-ptv3-pheno4d-tomato,1,O16_r10,808,182769,0,0,0,0,27899,863,0,186,153821,Tomato02,T02_0315_a,2136519,0.05440955798108224,0.04143398363654881,1440696,55450,640373,8
